	If, by the end of combat, you control only one card in play and have no cards in your hand, you win the game.	The Cheese Stands Alone	
	Chaos deals 1 damage to each player it has dealt damage to this game.	The Fallen	
	Create a 1/1 Insect artifact creature token with flying. Blockers may be reassigned.	The Hive	
	Create a 5/5 red and green Giant creature token. Blockers may be reassigned.	The Lady of the Mountain	
	Chaos deals X damage to you, where X is 3 minus the number of cards in your hand.	The Rack	
	Each player must pay 1 for each creature they control or sacrifice it. Blockers may be reassigned.	The Tabernacle at Pendrell Vale	
	XYZ: Chaos deals X damage to each of Y target creatures and Z target players. X, Y, or Z cannot be 0 unless you have no mana to spend.	The Ultimate Nightmare of Wizards of the Coast® Customer Service	
	At end of combat, the active player gains control of all creatures blocking target attacking creature as long as he or she controls the creature that attacked.	The Wretched	
	Draw a card for each tapped creature target opponent controls.	Theft of Dreams	
	Tap and sacrifice a creature. Forests you control become 2/3 creatures this combat that are still lands.	Thelonite Druid	
	Tap a creature you control. Sacrifice a green creature. Target land becomes a Forest. (This effect doesn't end at end of turn.)	Thelonite Monk	
	For each Swamp you control, Chaos deals 3 damage to you unless you put a -1/-1 counter on a creature you control.	Thelon's Chant	
	Tap all Blue creatures. For each Blue creature, its controller may pay U. If he or she does, untap it.	Thelon's Curse	
	Destroy target land. If that land was a snow land, you gain 1 life.	Thermokarst	
	Choose a creature in combat. If that creature is blocked or blocking a non-Wall creature, destroy that creature at end of combat.	Thicket Basilisk	
	Set aside all nontoken permanents. Starting with you, each player chooses one of the cards set aside and puts it onto the battlefield tapped under his or her control. Repeat this process until all those cards have been chosen.	Thieves' Auction	
	Whenever target untapped creature damages a player this combat, draw a card.	Thieving Magpie	
	Whenever a creature attacks this combat, sacrifice it unless its controller sacrifices an Island.	Thing from the Deep	
	Tap all creatures.	Thirst	
	Sacrifice a nontoken artifact. Create a 1/1 blue Thopter artifact creature token with flying. You gain 1 life. Blockers may be reassigned.	Thopter Foundry	
	Target attacker assigns its combat damage to any creature in play this combat.	Thorn Elemental	
	Chaos deals 1 damage to target creature in combat or player. Remove 3 counters of any type you control from the game.	Thorn Thallid	
	Draw a card, then discard a card.	Thought Courier	
	Choose a nonland card name. Target player reveals their hand. Chaos deals 3 damage to that player for each card with the chosen name revealed this way. Search that player’s graveyard, hand, and library for all cards with that name and exile them. Then that player shuffles.	Thought Hemorrhage	
	Remove the top 1d6 cards of your library from the game. Prevent the next 1d6 damage that would be dealt to you this combat.	Thought Lash	
	Target permanent becomes blue permanently. (Mana symbols on that permanent remain unchanged.) 	Thoughtlace	
1	Gain 1 life for each tapped Island you don't control.	Thoughtleech	
	Target nonartifact creature in combat gets +1d6/+0 and becomes an artifact in addition to its other types this combat.	Thran Forge	
	As long as target creature in combat is enchanted, it gets +2/+2 and has flying, first strike, and trample this combat.	Thran Golem	
	Reveal the top three cards of your library. Target opponent chooses one of those cards. Put that card into your graveyard, then draw two cards.	Thran Tome	
	The defending player sacrifices a creature for each attacking creature. Until end of turn, whenever a player sacrifices a creature, put a +1/+1 counter on a creature you control. Blockers may be reassigned.	Thraximundar	
	Untap target creature and gain control of it this combat. That creature gains haste this combat.	Threaten	
	Search your library for a Forest card and put that card onto the battlefield. Then shuffle your library.	Three Visits	
	Remove the top three cards of your library from the game face down. You may look at those cards as long as they remain removed from the game. Until end of combat, you may play those cards. At end of combat, put any of those cards you didn't play into your graveyard.	Three Wishes	
	Whenever a player plays a black spell until end of turn, you gain 1 life.	Throne of Bone	
	Black creatures in combat get +1/+1 this turn. Gain control of target black creature this combat. It has haste this combat.	Thrull Champion	
	Target creature in combat gains +1/+1 this turn. Sacrifice an Aura. Regenerate target creature in combat.	Thrull Retainer	
	Sacrifice a creature you control. Look at target player's hand and choose a card from it. That player discards that card.	Thrull Surgeon	
	Target player discards a card at random unless he or she pays B or 3.	Thrull Wizard	
	If you have five or more cards in hand, Chaos deals 1 damage to target opponent.	Thumbscrews	
	Chaos deals 3 damage to each creature without flying for each creature you control.	Thunder Dragon	
	Create a 2/2 white Elemental Spirit creature token with flying and first strike. Blockers may be reassigned.	Thunder Spirit	
	Target creature you control in combat gets +1/+1 this turn for each Island you control.	Thunder Wall	
	Choose one - Chaos deals 3 damage to target player; or Chaos deals 4 damage to target creature in combat with flying.	Thunderbolt	
	Create a 4/3 red Giant creature token with haste. Attackers and blockers may be reassigned.	Thundering Giant	
	Sacrifice all creatures you control. You may discard a land card for each creature to prevent this.	Thundering Wurm	
	Remove all creatures from combat and tap them. The attacking player attacks with one of his or her creatures.	Thundermare	
	Look at target players hand and put target red or green spell from their hand into their graveyard.	Tidal Control	
	For each attacker without flying, its controller may pay 1. If he or she doesn't, creatures blocking that creature this combat gain first strike.	Tidal Flats	
	As long as there are an odd number of Chaos Counters in play, all blue creatures get -2/-0 this combat. As long as there are an even number of Chaos Counters in play, all blue creatures get +2/+0 this combat. (0 is an even number)	Tidal Influence	
	Target attacker is unblockable this combat.	Tidal Kraken	
	Remove three target creatures without flying from combat.	Tidal Surge	
	Create a 5/5 blue Wall creature token with defender. Blockers may be reassigned. Sacrifice it at end of combat.	Tidal Wave	
	Draw four cards.	Tidings	
	Create a 1/1 green Wolf creature token with banding. Blockers may be reassigned.	Timber Wolves	
	Simultaneously, all creature cards that are phased out phase in and all creatures with phasing phase out.	Time and Tide	
	Roll 1d6. Sacrifice a permanent. Chaos deals damage to each creature and each player equal to the number rolled.	Time Bomb	
	Put target creature in combat on top of its owner's library.	Time Ebb	
	Return target permanent that isn't enchanted to its owner's hand. Choose target creature you control in combat. At end of combat, sacrifice it and it deals 5 damage to you.	Time Elemental	
	Sacrifice five artifacts. If you do, take an extra turn after this one.	Time Sieve	
	End the turn. (Remove all spells, effects, and abilities on the stack from the game. The player whose turn it is discards down to his or her maximum hand size. Damage wears off, and "this turn" and "until end of turn" effects end.)	Time Stop	
	Target player takes two extra turns after this one.	Time Stretch	
	Skip your next turn. Receive a Chaos Token. You may use a Chaos Token anytime it is your turn to take an extra turn after your current turn. 	Time Vault	
	Take your turn after the current turn.	Time Walk	
	Take your turn after the current turn.	Time Warp	
	Each player shuffles his or her hand and graveyard into his or her library and then draws seven cards.	Timetwister	
	Target player returns a creature to its owner's hand.	Timid Drake 	
	Sacrifice a creature. The controller of target artifact may remove the top card of his or her library from the game. If that player doesn't, remove the artifact from the game.	Timmerian Fiends	
