		2: Take an extra turn after this one. At the end of that turn, you lose the game. Play this effect as a sorcery.	Warrior's Oath		
		2: Creatures you control get +2/+2 until end of turn. Play this effect only during the declare attackers step and only if you are the defending player.	Warrior's Stand		
		At the beginning of your upkeep, create a 3/2 green Boar creature token with swampwalk.	Warthog		
		Creatures block each turn if able. As long as you control an untapped creature, all creatures attacking you get -1/-0.	Watchdog		
		At the beginning of your upkeep, create a 5/4 blue Elemental creature token.	Water Elemental		
		Creatures get +0/+1 as long as an opponent controls an Island.	Water Wurm		
		At the beginning of your upkeep, sacrifice a creature unless you return an untapped Island you control to its owner's hand.	Waterspout Djinn		
		U, Tap and sacrifice a creature: Tap up to three target creatures without flying. Play this effect as a sorcery and only once per turn.	Wave Elemental		
		At the beginning of your draw step, roll 1d6 and destroy each creature with converted mana cost equal to the number rolled. They can't be regenerated.	Wave of Terror 		
		U: Put a creature on top of its owner's library.	Wayward Soul		
		Creatures have -2/-1.	Weakness		
		Whenever a creature attacks, it gets -1/-0 until end of combat.	Weakstone		
		W, Tap an untapped creature you control: Search your library for a land card, reveal it, and put it into your hand. Then shuffle your library. Play this effect only if a player controls more lands than you.	Weathered Wayfarer		
		Creatures have +0/+2 and reach.	Web		
		Whenever a creature attacks, it gets +2/+0 until end of turn.	Wei Ambush Force		
		Whenever a creature enters the battlefield under your control, target opponent sacrifices a creature.	Wei Assassins		
		At the beginning of your upkeep, create a 3/3 black Human Soldier creature token with horsemanship.	Wei Elite Companions		
		At the beginning of your upkeep, create a 2/1 black Human Soldier creature token.	Wei Infantry		
		Whenever a creature deals damage to an opponent, that player discards a card.	Wei Night Raiders		
		At the beginning of your upkeep, create a 1/1 black Human Soldier Scout creature token with horsemanship.	Wei Scout		
		At the beginning of your upkeep, create a 2/1 black Human Soldier creature token with horsemanship.	Wei Strike Force		
		XGG: Each player may search his or her library for up to X creature cards, reveal those cards, and put them into his or her hand. Then each player who searched his or her library this way shuffles it.	Weird Harvest		
1		2: Draw a card. Play this effect only during your draw step.	Well of Knowledge 		
		When this effect comes into play, choose a land on the battlefield at random. At the beginning of your upkeep, untap the chosen land. You gain control of that land until end of turn.	Wellspring		
		BB, Tap an untapped creature you control: Destroy target white creature.	Western Paladin		
		Creatures with power 3 or less have flying.	Whalebone Glider		
		At the beginning of your upkeep, each player discards his or her hand and draws seven cards.	Wheel of Fortune		
		At the beginning of your upkeep, change the text of target permanent by replacing all instances of one color word or basic land type with another until end of turn. (For example, you may change "nonred creature" to "nongreen creature" or "plainswalk" to "swampwalk.") You may pay 2 to repeat this effect.	Whim of Volrath		
		R: Target creature gains haste until end of turn.	Whip Sergeant		
		You may choose not to untap creatures during your untap step. Tap an untapped creature you control: Tap target creature with flying blocked by a creature you control. As long as your creature remains tapped, the other creature doesn't untap during its controller's untap step. Play this effect only once per turn.	Whip Vine		
		Creatures can't be regenerated. Damage that would be dealt to creatures can't be prevented or dealt instead to another creature or player. Whenever a creature would be put into a graveyard from the battlefield, exile it instead.	Whippoorwill		
		At the beginning of your upkeep, create a 8/5 green Wurm creature token.	Whiptail Wurm		
		2, Exile the top two cards of your library: Chaos deals 1 damage to each creature with flying and each player.	Whirling Catapult		
		Creatures have protection from black and if they deal damage to a player, they get a +1/+1 counter at the beginning of the next end step.	Whirling Dervish		
		2GG: Destroy all creatures with flying. Play this effect as a sorcery.	Whirlwind		
		At the beginning of your upkeep, draw a card. You may pay 5 to repeat this effect.	Whispers of the Muse		
		2: Target creature you control is unblockable and has shroud until end of turn. Play this effect as a sorcery.	Whispersilk Cloak		
		At the beginning of your upkeep, create a 2/2 white Human Knight creature token with first strike and protection from black.	White Knight		
		2, Tap an untapped permanent you control: Put a Chaos counter on target Plains you control (play this effect only once per turn). Tap a Plains you control, Remove any number of Chaos counters on it: Add W to your mana pool, then add an additional W to your mana pool for each Chaos counter removed this way. When this effect leaves play, exile all Chaos counters.	White Mana Battery		
		Creatures can't be blocked by white creatures. Creatures get +2/+2 as long as an opponent controls a white permanent.	White Scarab		
		Creatures have protection from white.	White Ward		
		Creatures lose flying. Sacrifice a snow land: Ignore this effect for the rest of the turn.	Whiteout		
		1BB: Destroy two target nonblack creatures. You lose 5 life. Play this effect as a sorcery.	Wicked Pact		
		Sacrifice a creature: Creatures you control get +4/+2 this turn.	Wicked Reward		
		1G: Target creature gets +4/+4 until end of turn. Play this effect as a sorcery.	Wielding the Green Dragon		
		Creatures enter the battlefield with six +1/+1 counters on them. At the beginning of your upkeep, put a +1/+1 counter on a creature you control if it has blocked or been blocked since your last upkeep. Otherwise, remove a +1/+1 counter from it.	Wiitigo		
		WW: Creatures you control get +2/+0 this turn. Play this effect only once per turn.	Wild Aesthir		
		At the beginning of your upkeep, create a 3/3 green Elephant creature token with trample.	Wild Elephant		
		At the beginning of your upkeep, create a 2/2 white Griffin creature token with flying.	Wild Griffin		
		Whenever a land is tapped for mana, its controller adds an additional G to his or her mana pool. 	Wild Growth		
		At the beginning of your upkeep, create a 3/3 green Ox creature token with swampwalk.	Wild Ox		
		Whenever a creature enters the battlefield under your control, roll 1d6. If the roll is odd, return that creature to its owner's hand.	Wild Wurm		
		During your turn, you may pay 1 and return a basic land you control to its owner's hand to put an artifact onto the battlefield tapped rather than pay its mana cost. Artifacts may be tapped to produce G or W anytime.	Wildfield Borderpost		
		4RR: Each player sacrifices four lands. Chaos deals 4 damage to each creature. Play this effect as a sorcery.	Wildfire		
		1R: Creatures you control get +1/+0 this turn.	Wildfire Emissary		
		At the beginning of your upkeep, create a 0/1 black Spirit creature token with flying and "1: Regenerate".	Will-o'-the-Wisp		
		At the beginning of your upkeep, create a 1/1 green Dryad creature token with forestwalk.	Willow Dryad		
		At the beginning of your upkeep, create a 1/1 green Elf creature token.	Willow Elf		
		At the beginning of your upkeep, create a 1/2 green Faerie creature token with flying.	Willow Faerie		
		Green creatures gain protection from black. Tap an untapped creature you control: Put a Faerie permanent card from your hand onto the battlefield. Play this effect only once per turn.	Willow Priestess		
