	Choose a card in your hand. Covering the artist's name, reveal the card to target opponent. If that player cannot name the artist, reveal the artist's name and create a 1/1 green Squirrel token.	Squirrel Farm	
	Creatures with landwalk abilities can be blocked as though they didn't have those abilities this turn.	Staff of the Ages	
	Target creature gets -2/-0 this turn.	Staff of Zegon	
	Target land you control is a 3/3 Elemental artifact creature that is still a land. (This effect lasts indefinitely.)	Stalking Stones	
	Create a 3/3 green Cat creature token that can't be blocked by more than one creature.	Stalking Tiger	
	Attacking creatures get +1/+0 and gain trample this turn.	Stampede	
	Return a green creature you control to its owner's hand.	Stampeding Wildebeests	
	Lose 1 life and add one mana of any color to your mana pool.	Standing Stones	
	White creatures have vigilance this turn.	Standing Troops	
	Create a creature token named Chaos Twin that exactly duplicates another creature you control. When the original creature leaves play, exile the Chaos Twin token. When the Chaos Twin token leaves play, sacrifice the original creature.	Stangg	
	Add to your mana pool one mana of any color a basic land you control could produce. This mana doesn't empty until end of turn.	Star Compass	
	Destroy target artifact or creature. That permanent's controller gains control of a creature you control. (This effect lasts indefinitely.)	Starke of Rath	
	You gain 3 life for each black creature target opponent controls.	Starlight	
	You gain 5 life.	Starlight Invoker	
	Create a 3/4 white Angel creature token with flying.	Starlit Angel	
	Skip your untap step this turn.	Stasis	
	You can't untap more than two permanents during your next untap step.	Static Orb	
	The first time a creature comes onto the battlefield this turn, gain 4 life.	Staunch Defenders	
	Create a 2/2 white Human Rebel creature token with vigilance.	Steadfast Guard	
	Creatures you control get +0/+3 this turn.	Steadfastness	
	You control target artifact.	Steal Artifact	
	You control target enchantment.	Steal Enchantment	
	Chaos deals 2 damage to each creature and each player.	Steam Blast	
	Destroy target tapped creature.	Steam Catapult	
	Create a 3/3 blue Human Pirate creature token that can't attack unless the defender controls an Island.	Steam Frigate	
	Creature spells can't be played this turn.	Steel Golem	
	Nonartifact creatures get -1/-1 this turn.	Stench of Decay	
	Destroy all Plains. For each land put into a graveyard this way, Chaos deals 1 damage to that land's controller unless he or she pays 2.	Stench of Evil	
	Target creature you control gets +2/+2 this turn.	Stern Marshal	
	Chaos deals 2 damage to you if you control a tapped creature.	Stinging Licid	
	Chaos deals 5 damage to target opponent. You gain 5 life.	Stolen Grain	
	Your spells cost up to 1 less to play this turn.	Stone Calendar	
	Destroy target tapped nonblack creature.	Stone Catapult	
	Target creature you control with toughness less than 3 gains flying this turn. Destroy that creature at end of turn. 	Stone Giant	
	Destroy target land.	Stone Rain	
	Target creature you control can't be blocked by creatures with flying this turn.	Stone Spirit	
	Target creature you control gets +0/+2 this turn. Target creature you control gets +1/+0 this turn for each Mountain you control.	Stonehands	
	Create a 1/1 black Devil creature token with first strike.	Stone-Throwing Devils	
	Choose artifact, creature, or land. You can untap only permanents of the chosen type this turn.	Storage Matrix	
	You may play an additional land this turn. Whenever a land is tapped for mana this turn, return it to its owner's hand.	Storm Cauldron	
	Create a 1/2 blue Bird creature token with flying.	Storm Crow	
1	Remove the top card of your library from the game. Tap target creature with flying. Remove the top card of your library from the game. If the removed card is a snow land, target creature you control gets +1/+1 this turn.	Storm Elemental	
	Target creature you control with flying does not untap during your next untap phase.	Storm Front	
	Chaos deals damage equal to the number of cards in target player's hand to that player.	Storm Seeker	
	Target creature you control gets +1/+0 this turn for each Mountain you control.	Storm Shaman	
	Chaos deals 2 damage to target creature.	Storm Spirit	
	Chaos deals X damage to you, where X is 4 minus the number of cards in your hand.	Storm World	
	Discard a card at random. Chaos deals 2 damage to target creature or player.	Stormbind	
	Sacrifice an enchantment. Creatures you control gain flying this turn. Cascade the first spell you cast this turn.	Stormcaller's Boon	
	Choose a legal color. The next time a source of your chosen color would deal damage to you this turn, prevent that damage.	Story Circle	
	Sacrifice a land. Return target creature card from your graveyard to play.	Strands of Night	
	Look at the top three cards of your library. Put one of them into your hand and the rest into your graveyard.	Strategic Planning	
	Roll 1d6. On a 1, there is no effect. Otherwise, it has one of the following effects. 2 - Destroy all artifacts. 3 - Destroy all lands. 4 - Chaos deals 3 damage to each creature and player. 5 - Each player discards his or her hand and draws seven cards. 6 - Roll the die two more times.	Strategy, Schmategy	
	If an opponent controls a creature, sacrifice a creature.	Straw Golem	
	Create a 1/3 blue Scarecrow Soldier creature token.	Straw Soldiers	
	Destroy target land or nonblack creature.	Stream of Acid	
	Target player gains life equal to the number of lands they control.	Stream of Life	
	Sacrifice a land. Destroy target land.	Strip Mine	
	Whenever a creature comes onto the battlefield this turn, draw a card.	Striped Bears	
	Target player reveals his or her hand and discards a white card of your choice.	Stromgald Cabal	
	Whenever target creature you control attacks and isn't blocked this turn, it deals no combat damage and the defending player plays with his or her hand revealed as long as that creature remains in play.	Stromgald Spy	
	Sacrifice a creature. Destroy target nonblack creature.	Stronghold Assassin	
	Each player loses 1 life for each creature he or she controls.	Stronghold Discipline	
	Target creature you don't control can't block this turn. Draw a card.	Stun	
	Chaos deals 1 damage to target creature. Tap that creature.	Stun Sniper	
	Target player chooses three cards from his or her hand and puts them on top of his or her library in any order.	Stunted Growth	
	Target opponent discards a card at random, then discards a card.	Stupor	
	Prevent all combat damage that would be dealt by target creature this turn. That creature gets +0/+X this turn, where X is its converted mana cost.	Subdue	
	Chaos deals 1 damage to each creature without flying.	Subterranean Spirit	
	Each opponent loses 1 life. You gain life equal to the life lost this way.	Subversion	
	When a creature you control is put into a graveyard from play this turn, add 4 to your mana pool.	Su-Chi	
	Chaos deals damage to target player equal to the number of cards in that player's hand.	Sudden Impact	
	Chaos deals 4 damage to target player who has a red instant or sorcery spell in their graveyard. Draw a card.	Suffocation	
	Destroy all Djinns and Efreets. They can't be regenerated. Whenever a Djinn or Efreet comes onto the battlefield this turn, destroy it. It can't be regenerated.	Suleiman's Legacy	
	You may put up to three lands from your hand onto the battlefield.	Summer Bloom	
	You may return target creature to its owner's hand for each creature you control.	Sun Ce, Young Conquerer	
	Target creature you control gets +1/+3 this turn. Return an enchanted creature to its owner's hand.	Sun Clasp	
	Target creature you control has horsemanship this turn.	Sun Quan, Lord of Wu	
	Add 2 to your mana pool this turn.	Sunastian Falconer	
	Players may spend white mana as though it were red mana this turn.	Sunglasses of Urza	
	Blue creatures get +1/+1 this turn.	Sunken City	
	Each player returns a creature he or she controls to its owner's hand.	Sunken Hope	
	Sacrifice a snow land. Prevent all combat damage that would be dealt this turn.	Sunstone	
	After attackers are declared, if there are any red creatures attacking, they have flying until end of turn.	Suntail Hawk	
	Create a 5/6 white Wall creature token with defender, flying, and can't block creatures with power 2 or less.	Sunweb	
	Chaos deals damage to target creature equal to the number of creatures you control in excess of the number of creatures that creature's controller controls.	Superior Numbers	
